,L1,L2
1992-05-26,4.900780106722047e-06,5.055485951266183e-05
1992-05-27,4.86002601353978e-06,5.050103201286811e-05
1992-05-28,5.247933999804238e-06,5.171915010035912e-05
1992-05-29,5.051212387099877e-06,5.131021702519105e-05
1992-06-01,4.242891283895455e-06,4.794678544396212e-05
1992-06-02,4.242891283895455e-06,4.794678544396212e-05
1992-06-03,3.975814622806787e-06,4.6017081139833564e-05
1992-06-04,3.975814622806787e-06,4.6017081139833564e-05
1992-06-05,3.976289263667595e-06,4.601713328742633e-05
1992-06-08,3.916525276852841e-06,4.578410512690741e-05
1992-06-09,3.6687021922126515e-06,4.4876746472559406e-05
1992-06-10,3.662587972439625e-06,4.4873150890544426e-05
1992-06-11,3.638728701314299e-06,4.4807635528912814e-05
1992-06-12,3.638728701314299e-06,4.4807635528912814e-05
1992-06-15,3.573910895727315e-06,4.466799934690005e-05
1992-06-16,3.575871324225069e-06,4.4673960562730286e-05
1992-06-17,3.5828006815393627e-06,4.467327804480239e-05
1992-06-18,3.5463080990757286e-06,4.4617585847453005e-05
1992-06-19,3.5468346662235754e-06,4.461769269400551e-05
1992-06-22,5.4763043564513336e-06,6.156137892540425e-05
1992-06-23,5.479441862768616e-06,6.156249912397816e-05
1992-06-24,5.4074910774833695e-06,6.132510129633266e-05
1992-06-25,5.468368433432481e-06,6.139778251614632e-05
1992-06-26,5.652960549816018e-06,6.209002788575147e-05
1992-06-29,5.575774437442382e-06,6.197480665365319e-05
1992-06-30,5.734011664259775e-06,6.272195545915557e-05
1992-07-01,5.695902267356741e-06,6.255865015562682e-05
1992-07-02,5.235494193241116e-06,6.087693258223184e-05
1992-07-06,5.5996184314405336e-06,6.255509119123284e-05
1992-07-07,5.609102475005036e-06,6.26473794487207e-05
1992-07-08,5.608915089794232e-06,6.169113131297707e-05
1992-07-09,4.426825745741539e-06,5.238001620494177e-05
1992-07-10,4.538622299694023e-06,5.263164533535758e-05
1992-07-13,4.571988343776167e-06,5.267828482580852e-05
1992-07-14,4.57829815837857e-06,5.268663690272905e-05
1992-07-15,4.030057274977092e-06,4.9295919842021726e-05
1992-07-16,2.46509400574396e-06,2.9468695741917637e-05
1992-07-17,2.520355042931532e-06,2.974936582871712e-05
1992-07-20,2.520355042931532e-06,2.974936582871712e-05
1992-07-21,2.356489807621198e-06,2.9016152892966897e-05
1992-07-22,1.8057461753261511e-06,2.2758935416182543e-05
1992-07-23,1.858452349559394e-06,2.3080782469324722e-05
1992-07-24,1.4857025194429448e-06,1.929243144895832e-05
1992-07-27,1.7920515682197017e-06,2.2728291585471825e-05
1992-07-28,1.7920515682197017e-06,2.2728291585471825e-05
1992-07-29,1.7981698566273932e-06,2.2735444304921842e-05
1992-07-30,1.7286630298690263e-06,2.2393996799658403e-05
1992-07-31,1.6292634645672891e-06,2.1845254967080762e-05
1992-08-03,1.6655320212031977e-06,2.1996525792632768e-05
1992-08-04,1.914447151454199e-06,2.5210010754181902e-05
1992-08-05,1.954056567591135e-06,2.6518224915666172e-05
1992-08-06,1.950438240723427e-06,2.6514771667492736e-05
1992-08-07,2.2533461555929865e-06,2.839082661680621e-05
1992-08-10,2.151711792119495e-06,2.7692799940895715e-05
1992-08-11,1.7348058408242256e-06,2.3397043681368923e-05
1992-08-12,1.7964051209896574e-06,2.3578524822366288e-05
