,L1,L2
1992-05-29,1.147751755461308e-06,2.6295848803076008e-05
1992-06-01,1.140179912853393e-06,2.627549743071116e-05
1992-06-02,1.13965756190936e-06,2.627531577682524e-05
1992-06-03,1.1842770132210976e-06,2.6457715519483935e-05
1992-06-04,1.516718779374527e-06,2.9442895903787115e-05
1992-06-05,5.647713127202173e-07,1.3641884896340985e-05
1992-06-08,5.08660836648963e-07,1.3313196561140915e-05
1992-06-09,5.08660836648963e-07,1.3313196561140915e-05
1992-06-10,5.08660836648963e-07,1.3313196561140915e-05
1992-06-11,5.135097288069468e-07,1.3322262479840943e-05
1992-06-12,5.08660836648963e-07,1.3313196561140915e-05
1992-06-15,4.4266813379737494e-07,1.2800063240728939e-05
1992-06-16,2.3663685837047333e-07,7.517211373875406e-06
1992-06-17,2.3663685837047333e-07,7.517211373875406e-06
1992-06-18,2.7515592286774546e-07,8.076263280448104e-06
1992-06-19,2.7515592286774546e-07,8.076263280448104e-06
1992-06-22,5.051053079956099e-07,1.2163305649635075e-05
1992-06-23,4.567795595834945e-07,1.1821772845923892e-05
1992-06-24,4.762488013695614e-07,1.1906536678229746e-05
1992-06-25,3.006434151156278e-07,8.4334241733005e-06
1992-06-26,2.9106433836325604e-07,8.391445214123567e-06
1992-06-29,2.9106433836325604e-07,8.391445214123567e-06
1992-06-30,2.9106433836325604e-07,8.391445214123567e-06
1992-07-01,2.916341367768479e-07,8.391968552381055e-06
1992-07-02,1.1163166089232397e-07,4.150364822302798e-06
1992-07-06,1.6144213180075302e-07,4.831104579320113e-06
1992-07-07,1.6144213180075302e-07,4.831104579320113e-06
1992-07-08,1.7696987460699434e-07,5.286605216482069e-06
1992-07-09,1.7696987460699434e-07,5.286605216482069e-06
1992-07-10,1.9991777134970888e-07,5.53769301115331e-06
1992-07-13,1.735127731694017e-07,5.272989743553061e-06
1992-07-14,3.4039120959166774e-07,8.558595455953191e-06
1992-07-15,5.470348898553999e-07,1.1400881127237687e-05
1992-07-16,5.470348898553999e-07,1.1400881127237687e-05
1992-07-17,5.470348898553999e-07,1.1400881127237687e-05
1992-07-20,5.84376030769187e-07,1.1700420338667452e-05
1992-07-21,5.850789210212306e-07,1.1700105828376734e-05
1992-07-22,5.850789210212306e-07,1.1700105828376734e-05
1992-07-23,5.793668414640755e-07,1.169807486372274e-05
1992-07-24,3.912180178518855e-07,9.032607223908602e-06
1992-07-27,9.884525473740253e-07,1.876989604587351e-05
1992-07-28,9.291157204731748e-07,1.8451768826280607e-05
1992-07-29,9.291157204731748e-07,1.8451768826280607e-05
1992-07-30,7.621338123586294e-07,1.7174574803405677e-05
1992-07-31,7.621338123586294e-07,1.7174574803405677e-05
1992-08-03,8.599718062055175e-07,1.7668706386659423e-05
1992-08-04,1.0552859645216277e-06,2.0456224934900487e-05
1992-08-05,1.0947243438215082e-06,2.068676839717909e-05
1992-08-06,1.0919674967384545e-06,2.068444059137946e-05
1992-08-07,1.0919674967384545e-06,2.068444059137946e-05
1992-08-10,1.0794532914432353e-06,2.0606275919478945e-05
1992-08-11,6.19850306655139e-07,1.2080856861474428e-05
1992-08-12,6.429723480212874e-07,1.2181523050032555e-05
1992-08-13,5.773469651012935e-07,1.1700967897938387e-05
1992-08-14,5.542014992196912e-07,1.1596884087507714e-05
1992-08-17,4.1860904709742965e-07,1.0071422331097959e-05
1992-08-18,3.4335047871400177e-07,9.362193712412845e-06
1992-08-19,3.2309974402702453e-07,8.963179862715864e-06
1992-08-20,2.2304660765548317e-07,7.413140837107365e-06
1992-08-21,2.2304660765548317e-07,7.413140837107365e-06
1992-08-24,2.013842953799941e-07,7.268675203839346e-06
1992-08-25,4.919476590436642e-07,1.2544554910070094e-05
1992-08-26,6.750963934678157e-07,1.4641357501680578e-05
1992-08-27,7.867381520537611e-07,1.548429568313443e-05
1992-08-28,7.913467864862213e-07,1.5491985469129915e-05
1992-08-31,6.696621549738988e-07,1.4039808650842862e-05
1992-09-01,4.676692160552253e-07,1.1768039893596556e-05
1992-09-02,4.199017039571446e-07,1.1147653992371639e-05
1992-09-03,4.242752066201962e-07,1.115610016155992e-05
1992-09-04,4.4181088133070843e-07,1.1225264312707948e-05
1992-09-08,3.062159888099778e-07,7.314867580753018e-06
1992-09-09,2.4036725864991777e-07,6.500831181549337e-06
1992-09-10,2.4036725864991777e-07,6.500831181549337e-06
1992-09-11,2.4036725864991777e-07,6.500831181549337e-06
1992-09-14,2.4036725864991777e-07,6.500831181549337e-06
1992-09-15,2.4036725864991777e-07,6.500831181549337e-06
1992-09-16,2.7680767311536454e-07,6.858870242923772e-06
1992-09-17,2.7680767311536454e-07,6.858870242923772e-06
1992-09-18,2.7680767311536454e-07,6.858870242923772e-06
1992-09-21,2.760726001794121e-07,6.854580137004867e-06
1992-09-22,3.00435090655875e-07,7.037779385922506e-06
1992-09-23,2.994688405323497e-07,6.689281735862915e-06
1992-09-24,2.2313842122337303e-07,5.857726597798537e-06
1992-09-25,2.5370946448415437e-07,6.525394973980188e-06
1992-09-28,2.5041008373962167e-07,6.516253968533297e-06
1992-09-29,1.7718279739093878e-07,5.408332423217032e-06
1992-09-30,1.774248533559787e-07,5.410951947759822e-06
1992-10-01,2.0136681716584058e-07,5.64627690177496e-06
1992-10-02,2.0136681716584058e-07,5.64627690177496e-06
1992-10-05,1.1962390737764614e-06,2.6495508012440677e-05
1992-10-06,1.0950782008392663e-06,2.608764122448203e-05
1992-10-07,1.1323892058553064e-06,2.6178835620626085e-05
1992-10-08,1.1323892058553064e-06,2.6178835620626085e-05
1992-10-09,1.138667114338604e-06,2.6184882040978364e-05
1992-10-12,1.2844661885773985e-06,2.6882955444410862e-05
1992-10-13,1.163717707851979e-06,2.6280321126495952e-05
1992-10-14,1.1537746009437004e-06,2.625830557781063e-05
1992-10-15,1.130000408600387e-06,2.621182772876203e-05
1992-10-16,1.0927861162867424e-06,2.6120430268208067e-05
1992-10-19,1.0927861162867424e-06,2.6120430268208067e-05
1992-10-20,1.0950640261742127e-06,2.6126103031332876e-05
1992-10-21,1.0894024423864546e-06,2.612096133166017e-05
1992-10-22,1.0894024423864546e-06,2.612096133166017e-05
1992-10-23,1.1999348459834483e-06,2.6574213889250302e-05
1992-10-26,1.4834842751150657e-06,2.840692134597219e-05
1992-10-27,1.498474066638232e-06,2.842915544822595e-05
1992-10-28,1.4053275978199444e-06,2.8223749464948294e-05
1992-10-29,1.4429011541856458e-06,2.830978251337887e-05
1992-10-30,1.4424465958797116e-06,2.8309718702233194e-05
1992-11-02,1.1588971667480941e-06,2.647028213818177e-05
1992-11-03,1.4369107871793194e-06,2.957599748256011e-05
1992-11-04,1.4360076033237509e-06,2.9575736182756876e-05
1992-11-05,1.4360076033237509e-06,2.9575736182756876e-05
1992-11-06,1.4360076033237509e-06,2.9575736182756876e-05
1992-11-09,1.8897666973913958e-06,3.307519549427525e-05
1992-11-10,1.8825368576720452e-06,3.306997175005924e-05
1992-11-11,1.8918840715207999e-06,3.307912901411405e-05
1992-11-12,2.008301316963803e-06,3.276187025158616e-05
1992-11-13,1.9816413880110834e-06,3.2700611642662674e-05
1992-11-16,1.8364714971133501e-06,3.2127948123730696e-05
1992-11-17,1.0583830655014608e-06,1.9151911895611742e-05
1992-11-18,6.733230995434117e-07,1.434937031106511e-05
1992-11-19,6.400222966353202e-07,1.4049963957973484e-05
1992-11-20,6.443654077570064e-07,1.4065350743618989e-05
1992-11-23,6.443654077570064e-07,1.4065350743618989e-05
1992-11-24,6.486983204462746e-07,1.4075857690997331e-05
1992-11-25,6.366470169733536e-07,1.4044180615189867e-05
1992-11-27,7.346422290135452e-07,1.528919716611421e-05
1992-11-30,7.346422290135452e-07,1.528919716611421e-05
1992-12-01,1.0995655719474948e-06,1.968609227538318e-05
1992-12-02,1.5760852059297335e-06,2.8853961085399595e-05
1992-12-03,1.8533534425367358e-06,3.0588510968167665e-05
1992-12-04,1.8327411644636219e-06,3.0556870980671494e-05
1992-12-07,8.734005161907115e-07,1.608791811691344e-05
