Date,SP500,DJIA,NASDAQ,RUSSELL2000
1992-01-03,0.004972485878161102,0.009131081532774967,0.01051661293760734,0.017540605005136496
1992-01-06,-0.0032963242625045574,-0.0004373601426860286,0.00881950999962941,0.011593761164739853
1992-01-07,-0.0013407337011579641,0.0014676113313180517,0.0073154636883607195,0.007382768313320369
1992-01-08,0.0016756729403401896,-0.00028091391300973464,0.013244401374356092,0.011730476127916464
1992-01-09,-0.0011727053957028266,0.0017463745173536367,0.015413403875939882,0.012492350774727693
1992-01-10,-0.006028477802319593,-0.0031206141723178864,-0.006636973915105204,-0.006301960189620093
1992-01-13,-0.001832585783389941,-0.0043538626140555425,0.003129728822661871,0.002755735162183921
1992-01-14,0.014614903782615872,0.018844381463885035,0.01306134974579261,0.012381776997496334
1992-01-15,0.0007845522343856298,0.003781900343090624,0.008069641655464466,0.00959061527617116
1992-01-16,-0.0061026617159883325,-0.002735024894539713,-0.005531870745563509,0.0004404137062697537
1992-01-17,0.0015530219578683176,0.004727820832636017,-0.0007814626069673235,0.003272676868655049
1992-01-20,-0.005986464773084928,-0.0033747539315483674,-0.011988253025875984,-0.0037130905749246873
1992-01-21,-0.008974657832773516,-0.009448335986404153,-0.023705434752819,-0.016583148577111566
1992-01-22,0.013216823002870358,0.010001363379104485,0.025802088578847263,0.01369107860333663
1992-01-23,-0.007610291184233271,-0.008978108176545305,0.0035061115002135586,0.004652636764803215
1992-01-24,0.0012523953511195647,0.0018887218730988945,0.0029177559797089786,0.0037065712717118033
1992-01-27,-0.0011801047794662628,0.0024098780939000993,-0.00590842496141311,-0.0017540474878154511
1992-01-28,-7.229057165321549e-05,0.009673482485799256,0.0004668443563729703,-0.00039021477602060905
1992-01-29,-0.01119603403750015,-0.014499060218063681,-0.008047846550593115,-0.005429880701681092
1992-01-30,0.0031145063683998783,0.006151552697185081,0.008176630114373376,0.004893095948966511
1992-01-31,-0.006923470754465027,-0.006647830134479062,-0.001868544058480893,0.0014145725636883716
1992-02-03,0.0018330466748330502,0.0033140395217112575,0.005178311827320277,0.0034546975321918037
1992-02-04,0.010493446377285153,0.01189519022027177,0.01206938491874189,0.009427477764313207
1992-02-05,-2.4187233374693154e-05,-0.004655144640438984,0.009416650166406837,0.0072873512655525306
1992-02-06,-4.83024758652367e-05,-0.0006141374448462726,0.0010983686419403975,0.004385127088964611
1992-02-07,-0.006618954652371429,-0.00931967718011431,-0.004274606489333159,-0.0008564147516326388
1992-02-10,0.006498077621887487,0.006089253128639263,-0.001292286423699393,0.0021397357137519415
1992-02-11,-2.4118154174680843e-05,0.0020010165079064023,-0.0011992265983568132,0.0008546574075586444
1992-02-12,0.008111816334293049,0.0077201384005868914,0.018071489758199194,0.008976691969246674
1992-02-13,-0.008281028548573079,-0.00922827048938613,-0.009065353140827185,-0.0050454301991750316
1992-02-14,-0.002929160585724613,-0.00021561174237240473,-0.004186474447841087,9.456049590491413e-05
1992-02-18,-0.012441323613750483,-0.006583561569321545,-0.0158693580904652,-0.007020215387287201
1992-02-19,0.0021578274936639628,0.00173511977110456,-0.00640606949163327,-0.008221063464170312
1992-02-20,0.013720133742783526,0.015451334969867038,0.01565422467495687,0.012069311823199404
1992-02-21,-0.005985505519319898,-0.00012198100289388688,-0.0039303058678406885,-0.002326215775053132
1992-02-24,0.002039569376596357,0.0006704511332055796,-0.007683283488849107,-0.007202657153764914
1992-02-25,-0.004424299330730164,-0.00752269646492671,-0.00566459549612068,-0.006290978342582874
1992-02-26,0.01186740444507418,0.007796893122315455,0.017547107692978348,0.012542627566395584
1992-02-27,-0.0035938359909400753,-0.004211961032556516,0.0024479622887396643,0.003846055760748281
1992-02-28,-0.0028067506520159965,-0.000550709443512,-0.0007575097968060682,0.0006632527886413091
1992-03-02,-0.0006059504338668972,0.0023231242776508244,0.00315224005619401,0.0030264335250360583
1992-03-03,0.0009693297441643753,0.004569278017167855,-0.0019216380094645832,0.0014155096215611419
1992-03-04,-0.00856270176812862,-0.00661697231659196,-0.006263202408261751,-0.003873739085588646
1992-03-05,-0.006913090924793304,-0.00832560292099478,-0.01328818310973894,-0.01228704756943472
1992-03-06,-0.005105152694664421,-0.006158024764840825,-0.009726001735189763,-0.006972340512581216
1992-03-09,0.0019020298934352953,-0.0020196690888993583,-0.00021108629246338977,-0.0018353295526682863
1992-03-10,0.004137484490565338,0.00493319506318811,0.01232991940196146,0.006456902622838553
1992-03-11,-0.0070537850350810265,-0.006956951471741285,-0.010188718057198662,-0.006408588471381783
1992-03-12,-0.0003465296809922062,0.0,-0.0019788690555626316,-0.004311497096128069
1992-03-13,0.004816384307268318,0.0084723308205517,0.004374125682479937,0.0037796178044703973
1992-03-16,0.0013543414726847954,0.00015450458603070825,-0.001099813588772851,-0.0032457249460601722
1992-03-17,0.007818885916420866,0.006037877363091637,0.008588473760478594,0.005468087900511202
1992-03-18,-0.0010503895681698227,-0.0005222343663918535,0.002675805957608561,0.004525995642495639
1992-03-19,0.0015873839611809154,0.0021793073280913827,0.0016308573625717167,0.0014881194929223616
1992-03-20,0.003653639540214175,0.004588707751355223,-0.0026874737938893992,-0.0005757646868859496
1992-03-23,-0.003385213216397158,-0.001313218387549259,-0.003932261634699905,-0.002787667942883051
1992-03-24,-0.0025159059388937728,-0.003398113658617351,-0.0050786066372356465,-0.004147785409756195
1992-03-25,-0.0033317421297894565,-0.0004907974088504572,0.0012922205880352745,4.8302475865195873e-05
1992-03-26,0.0008339580766881707,0.0025432591773499437,-0.00660788235971334,-0.003291670460528474
1992-03-27,-0.010747454638839936,-0.011170908936123103,-0.01758967615195316,-0.011705211407499883
1992-03-30,-0.0012399257633205472,0.0011752851116880742,-0.004309096624084081,-0.004375726170277976
1992-03-31,0.0017107007836769798,9.27407639371556e-05,0.0028196332771758194,0.0036886800032178728
1992-04-01,0.0013367873461806927,0.004256128039755454,-0.0027863826615042372,-0.00650116582256569
1992-04-02,-0.009270283568126628,-0.004688891222785982,-0.013830724928707993,-0.009382744838783713
1992-04-03,0.00261826172627776,0.004627352638694135,-0.006436753010428471,-0.007258621770213487
1992-04-06,0.01001075987690717,0.008092464218946712,0.010587586597025224,0.0027093918111382935
1992-04-07,-0.018740046553786496,-0.01907869473843181,-0.024926994224112,-0.018151502082160854
1992-04-08,-0.008983601271883537,-0.010070513665238248,-0.01372835802597286,-0.015114427030178951
1992-04-09,0.015444164748343066,0.013611629461611877,0.022527097923894044,0.016338180350143804
1992-04-10,0.00906915833384964,0.009382175729290844,-0.004286994134370062,0.004525236705882821
1992-04-13,0.004417688091178869,0.004444247559560185,0.006670218319611914,-0.00030441706921654544
1992-04-14,0.01541938760772585,0.011009902976862692,0.01125996379769172,0.009344241022678713
1992-04-15,0.009388568770223345,0.01432476937646757,0.008737680077804302,0.0038635689734252817
1992-04-16,-0.0005766778136149617,0.0037795831132816033,-0.01379406949330444,-0.0063300615077004135
1992-04-20,-0.014185360134157212,-0.009011205857017776,-0.024996785250147778,-0.016515022732314904
1992-04-21,0.0001950589680156384,0.0020959346248904213,-0.003731875737601891,-0.0023596576523681593
1992-04-22,-0.0010974971604425766,-0.001346882152173332,0.0055147073086350895,0.001488251954849504
1992-04-23,0.004358387091599002,0.0029309015847147385,-0.0037772383263124675,-0.0014882519548495656
1992-04-24,-0.006287991046025589,-0.0072230903432399,-0.005500689514814585,-0.0007707203794413552
1992-04-27,-0.001394490068514725,-0.0060159363071026276,-0.010440269449448248,-0.007118227392266469
1992-04-28,0.0016144950581216204,0.0010101668830474395,-0.011727555946436392,-0.008108140096210156
1992-04-29,0.007087832463858298,0.007619271440573614,0.017005170031325796,0.01012502325404605
1992-04-30,0.007086195266444863,0.007740321147379719,0.015218538690855187,0.013801040794103202
1992-05-01,-0.005849133018636092,-0.00687062068527936,-0.000933555891395455,0.0014765846053640464
1992-05-04,0.01056145250663505,0.012510960832650438,0.009296884352074597,0.006137279097911253
1992-05-05,-0.00016793361171396016,-0.00555109264042785,0.007733037321440401,0.003634171365240132
1992-05-06,-0.00011992800819519167,0.0029723004554761514,0.0021911766329957673,0.0033197740373575105
1992-05-07,-0.0022578853387224874,-0.0017823199151576383,-0.0037398681686108,-0.0009545703613841598
1992-05-08,0.0004807830142386795,0.0017823199151576897,-0.0023871433074826496,-0.00020104200576165604
1992-05-11,0.005847555439914161,0.0083346707729492,0.0023361026577522793,0.0038135151005461755
1992-05-12,-0.005270818145870374,-0.0036858518854193576,-0.005413743742628158,-0.002256246783969477
1992-05-13,0.000384282393282685,0.0020362410554366638,-0.0027093609410475217,-0.0007029846564964117
1992-05-14,-0.007979881667007823,-0.006833465331687628,-0.010217172814361188,-0.007613774191110095
