,L1,L2
2018-03-15,3.1633761709459586e-06,4.7321181600991775e-05
2018-03-16,3.1515176594121756e-06,4.726593861152449e-05
2018-03-19,3.4904943872557285e-06,4.863910300778867e-05
2018-03-20,3.4441654449305085e-06,4.857077072669847e-05
2018-03-21,3.762712922683509e-06,4.972602086525107e-05
2018-03-22,3.5894056809617442e-06,4.918110168589149e-05
2018-03-23,4.942369277179185e-06,6.144949246561683e-05
2018-03-26,2.9969562606085025e-06,4.43544585910183e-05
2018-03-27,2.9957282698672892e-06,4.435427396131418e-05
2018-03-28,4.177347838879563e-06,5.3942485486810204e-05
2018-03-29,4.177347838879563e-06,5.3942485486810204e-05
2018-04-02,2.39430651687867e-06,3.6367203225173776e-05
2018-04-03,2.39430651687867e-06,3.6367203225173776e-05
2018-04-04,2.487990920351834e-06,3.66328102222322e-05
2018-04-05,2.33059442179326e-06,3.605859701694315e-05
2018-04-06,1.0533531861228566e-06,1.8383651053249655e-05
2018-04-09,9.705180503358485e-07,1.7377155185337277e-05
2018-04-10,9.705180503358485e-07,1.7377155185337277e-05
2018-04-11,1.3378402704914467e-06,2.2971867697846436e-05
2018-04-12,1.7461871382402732e-06,2.9127776990857655e-05
2018-04-13,1.6304064702317049e-06,2.7926073845221896e-05
2018-04-16,1.1395979074018636e-06,2.3156272566644148e-05
2018-04-17,1.1395979074018636e-06,2.3156272566644148e-05
2018-04-18,1.1650597417622768e-06,2.322351672369811e-05
2018-04-19,1.1650597417622768e-06,2.322351672369811e-05
2018-04-20,6.777312808052511e-07,1.3513261090888251e-05
2018-04-23,1.2499696571407106e-06,2.0825681159374058e-05
2018-04-24,1.2710644273102712e-06,2.0874716166863992e-05
2018-04-25,1.0448350830228117e-06,1.810524252437993e-05
2018-04-26,1.029895255462523e-06,1.8050389343013265e-05
2018-04-27,9.778012165413124e-07,1.7367988194192675e-05
2018-04-30,9.550042000150447e-07,1.7219166956145756e-05
2018-05-01,9.598833628957915e-07,1.723999818544294e-05
2018-05-02,9.598833628957915e-07,1.723999818544294e-05
2018-05-03,1.3373208808056304e-06,2.265260383241305e-05
2018-05-04,1.4943257082353732e-06,2.372043992789356e-05
2018-05-07,1.3792907793512203e-06,2.3168675841978362e-05
2018-05-08,1.3792907793512203e-06,2.3168675841978362e-05
2018-05-09,1.4266769657583471e-06,2.3496221516861223e-05
2018-05-10,1.4075938361870062e-06,2.346314939733887e-05
2018-05-11,2.044902228896582e-06,3.0297083916153707e-05
2018-05-14,1.8657910909991157e-06,2.8726542681043057e-05
2018-05-15,1.784328128848439e-06,2.8367079384562405e-05
2018-05-16,1.8309808442092778e-06,2.8485429008003668e-05
2018-05-17,1.836916225418673e-06,2.857173887449534e-05
2018-05-18,1.7020748713919103e-06,2.5960926362033407e-05
2018-05-21,1.7053659556477234e-06,2.5963310758995436e-05
2018-05-22,1.705323156681192e-06,2.596330904209692e-05
2018-05-23,1.5497663327106325e-06,2.4825323273133703e-05
2018-05-24,1.228232239775441e-06,2.2475150860204484e-05
2018-05-25,1.1119024308707558e-06,2.1553179112556514e-05
2018-05-29,5.361791245791873e-07,1.0986363228910831e-05
2018-05-30,7.437846862412589e-07,1.3017595792829771e-05
2018-05-31,1.0860408361823945e-06,1.76801144253707e-05
2018-06-01,1.0513286128059953e-06,1.7557889737386365e-05
2018-06-04,1.0513286128059953e-06,1.7557889737386365e-05
2018-06-05,1.325847995239308e-06,2.0091476859837412e-05
2018-06-06,1.3284579769035935e-06,2.0093749121213902e-05
2018-06-07,1.4308167542950478e-06,2.063006108018305e-05
2018-06-08,1.2447376307025825e-06,1.9596751128672603e-05
2018-06-11,1.2160436642471954e-06,1.9332677418678153e-05
2018-06-12,1.326731870062156e-06,1.9728611599362797e-05
2018-06-13,1.3292498378692879e-06,2.0198347720681976e-05
2018-06-14,1.4159920651619648e-06,2.0846393274665997e-05
2018-06-15,1.416172960305929e-06,2.0846586670254382e-05
